"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LBRM_01_0010",0.150548590060784,2.36802554841367,4.07009331419134,0.581811119700128,0.560693913243612,NA
"LBRM_01_0020",1.15872987028371,2.06405032029669,2.32687146992048,0.887049562891081,0.375052217005645,0.97845571662501
"LBRM_01_0030",0.225339052771423,2.57585470100848,4.06349269559957,0.633901644218018,0.526145012480435,NA
"LBRM_01_0040",0.0777714885289751,0.512386596321632,4.0804728567969,0.125570396937733,0.900071997253288,NA
"LBRM_01_0050",0.225339052771423,2.57585470100848,4.06349269559957,0.633901644218018,0.526145012480435,NA
"LBRM_01_0060",0.10866148091832,0.512386596321631,4.0804728567969,0.125570396937733,0.900071997253288,NA
"LBRM_01_0070",0,NA,NA,NA,NA,NA
"LBRM_01_0080",0,NA,NA,NA,NA,NA
"LBRM_01_0090",0,NA,NA,NA,NA,NA
"LBRM_01_0100",0.106620929128686,0.512386596321632,4.0804728567969,0.125570396937733,0.900071997253288,NA
"LBRM_01_0110",0.150548590060784,2.36802554841367,4.07009331419134,0.581811119700128,0.560693913243612,NA
"LBRM_01_0120",0,NA,NA,NA,NA,NA
"LBRM_01_0130",0,NA,NA,NA,NA,NA
"LBRM_01_0140",0,NA,NA,NA,NA,NA
"LBRM_01_0150",0.15554297705795,-0.121015899195086,4.06395245618752,-0.0297778826154414,0.976244198059474,NA
"LBRM_01_0160",0,NA,NA,NA,NA,NA
"LBRM_01_0170",0,NA,NA,NA,NA,NA
"LBRM_01_0180",0,NA,NA,NA,NA,NA
"LBRM_01_0190",0,NA,NA,NA,NA,NA
"LBRM_01_0200",0,NA,NA,NA,NA,NA
"LBRM_01_0210",0,NA,NA,NA,NA,NA
"LBRM_01_0220",0.217322961836639,-0.533674641665669,4.02601547254019,-0.132556530223405,0.894544112800906,NA
"LBRM_01_0230",0.0777714885289751,0.512386596321632,4.0804728567969,0.125570396937733,0.900071997253288,NA
"LBRM_01_0240",0.802914834781061,0.365330885323809,3.03250183257261,0.120471777263159,0.904109435274722,NA
"LBRM_01_0250",0,NA,NA,NA,NA,NA
"LBRM_01_0260",0.824484518466138,0.0689516832154221,2.34233966628156,0.029437098388417,0.9765159853805,NA
"LBRM_01_0270",0,NA,NA,NA,NA,NA
"LBRM_01_0280",0,NA,NA,NA,NA,NA
"LBRM_01_0290",0.225339052771423,2.57585470100848,4.06349269559957,0.633901644218018,0.526145012480435,NA
"LBRM_01_0300",0,NA,NA,NA,NA,NA
"LBRM_01_0310",0,NA,NA,NA,NA,NA
"LBRM_01_0320",0,NA,NA,NA,NA,NA
"LBRM_01_0330",0,NA,NA,NA,NA,NA
"LBRM_01_0340",0.948469037844679,2.9337131034358,2.65229440333641,1.10610386982131,0.268681563942234,0.911448662524806
"LBRM_01_0350",1.84254549201573,2.64055402639255,1.87343459692695,1.40947222322249,0.158695581247241,0.827298504164284
"LBRM_01_0360",1.17082706479776,4.38734850930913,2.42817113225948,1.80685308832684,0.070785188626508,0.738573202676465
"LBRM_01_0370",0,NA,NA,NA,NA,NA
"LBRM_01_0380",0,NA,NA,NA,NA,NA
"LBRM_01_0390",0.262163906186637,-0.836210405206493,4.00377057373284,-0.208855724824129,0.834560868338514,NA
"LBRM_01_0400",0.150548590060784,2.36802554841367,4.07009331419134,0.581811119700128,0.560693913243612,NA
"LBRM_01_0410",0,NA,NA,NA,NA,NA
