"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"LBRM_02_0550",2967.20719699324,-2.12289709563457,0.291637495653795,-7.27923235959575,3.35725003560348e-13,2.69251452855399e-10,"Significant"
"LBRM_08_0700",228.49226801687,-1.95192511147889,0.333518846517167,-5.85251817659552,4.84185309958886e-09,7.76633237174053e-07,"Significant"
"LBRM_16_0460",861.559784167122,-2.06626363576115,0.296444451597321,-6.9701545251651,3.16593051424804e-12,1.26953813621346e-09,"Significant"
"LBRM_16_0790",5265.63244118221,-1.79033989108581,0.296555389718189,-6.03711803311731,1.5689096654603e-09,3.1456638792479e-07,"Significant"
"LBRM_24_tRNA2",12.1599696868739,-5.40171137056344,1.3084683899062,-4.1282704360559,3.6550209365405e-05,0.00266484253736862,"Significant"
"LBRM_34_3410",160.854722771942,-1.15503234814746,0.316406863922514,-3.65046552349863,0.000261765445525363,0.0131209929569588,"Significant"
"LBRM_34_3420",98.6164883350779,-1.14842916804084,0.340713064655039,-3.37066372609924,0.000749873314745774,0.033411022134784,"Significant"
"LbrM_02_0690",44.3722506529675,-2.25211187070075,0.509699531323749,-4.41850881214616,9.93842287747057e-06,0.000885623905303489,"Significant"
"LbrM_02_0720",180.288944790547,-1.46112167713823,0.329728716039313,-4.43128428330161,9.36734942463224e-06,0.000885623905303489,"Significant"
"LbrM_02_0760",109.910062711314,-2.18602310189104,0.394252925739613,-5.54472258586311,2.9442058425289e-08,3.93542180951363e-06,"Significant"
"LbrM_16_1740",336.704387153121,-2.13851223635737,0.349320030432122,-6.12192846116483,9.24495327688269e-10,2.47148417601997e-07,"Significant"
"__ambiguous",2241.74288478487,-1.84867694634535,0.459840525087045,-4.02025668789284,5.81347639219393e-05,0.00388534005544961,"Significant"
